Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,88.190002,88.980003,87.930000,88.040001,86.009361,6133100
2022-04-12,88.470001,89.209999,87.699997,88.059998,86.028908,7147800
2022-04-13,88.230003,89.400002,87.879997,89.360001,87.298912,8530800
2022-04-14,89.459999,90.120003,89.010002,89.059998,87.005844,6332000
2022-04-18,89.000000,89.669998,88.839996,89.139999,87.084000,6221500
2022-04-19,88.889999,90.169998,88.669998,89.980003,87.904625,5060600
2022-04-20,90.120003,90.900002,89.949997,90.550003,88.461479,8644700
2022-04-21,91.230003,91.489998,88.820000,89.070000,87.015610,7664300
2022-04-22,88.330002,88.349998,85.580002,85.739998,83.762413,9412100
2022-04-25,84.830002,85.720001,83.139999,85.500000,83.527946,13343900
2022-04-26,85.879997,86.360001,84.139999,84.180000,82.238388,10540700
2022-04-27,84.940002,86.389999,84.669998,85.419998,83.449791,13024600
2022-04-28,85.839996,87.070000,84.389999,86.769997,84.768654,10351500
2022-04-29,87.050003,87.769997,84.820000,85.029999,83.068787,10632800
2022-05-02,85.139999,85.500000,83.129997,84.769997,82.814789,16419100
2022-05-03,84.830002,86.199997,84.660004,85.720001,83.742882,11422500
2022-05-04,86.279999,88.559998,85.489998,88.500000,86.458748,14905600
2022-05-05,87.879997,88.169998,84.830002,85.760002,83.781960,12271800
2022-05-06,85.080002,85.080002,83.129997,84.529999,82.580315,14357700
2022-05-09,82.989998,83.739998,81.629997,81.860001,79.971909,13940700
2022-05-10,83.220001,83.440002,80.379997,81.349998,79.473671,17015100
2022-05-11,81.580002,83.570000,81.209999,81.389999,79.512749,16918300
2022-05-12,80.540001,82.050003,79.760002,81.239998,79.366203,13229100
2022-05-13,81.889999,83.309998,81.889999,82.489998,80.587372,8647600
2022-05-16,82.139999,83.000000,81.389999,82.339996,80.440834,8346300
2022-05-17,84.190002,84.800003,83.339996,84.669998,82.717094,7568700
2022-05-18,83.860001,84.050003,81.690002,82.040001,80.147766,6966200
2022-05-19,81.500000,83.589996,81.400002,82.620003,80.714386,8097500
2022-05-20,83.430000,83.750000,80.620003,82.419998,80.518997,8057200
2022-05-23,83.470001,84.129997,82.900002,83.930000,81.994164,6380100
2022-05-24,83.650002,83.739998,82.019997,83.449997,81.525230,7029800
2022-05-25,83.129997,84.180000,82.839996,83.820000,81.886703,5535700
2022-05-26,84.400002,85.790001,84.239998,85.360001,83.391174,5536500
2022-05-27,86.080002,87.389999,85.940002,87.360001,85.345047,6794400
2022-05-31,86.540001,86.860001,85.739998,86.029999,84.045731,9245400
2022-06-01,86.169998,86.440002,84.339996,85.169998,83.205551,7175000
2022-06-02,86.080002,87.519997,85.889999,87.519997,85.501358,6525400
2022-06-03,86.739998,87.360001,86.360001,86.669998,84.670967,5325600
2022-06-06,87.309998,87.839996,87.019997,87.489998,85.472054,5592000
2022-06-07,86.750000,88.230003,86.519997,88.120003,86.087517,6205700
2022-06-08,87.209999,87.949997,86.099998,86.290001,84.299728,4237800
2022-06-09,85.629997,85.919998,84.220001,84.250000,82.306778,5406300
2022-06-10,82.620003,82.760002,81.559998,81.669998,79.786285,8334200
2022-06-13,79.580002,79.760002,78.019997,78.480003,76.669868,10410200
2022-06-14,78.459999,78.930000,77.269997,77.879997,76.083710,7850400
2022-06-15,78.870003,78.970001,76.440002,77.860001,76.064171,10429700
2022-06-16,75.730003,75.980003,74.410004,75.050003,73.318985,9284700
2022-06-17,74.940002,75.459999,73.620003,74.919998,73.191971,12509800
2022-06-21,75.570000,75.879997,74.949997,75.529999,74.298637,5616600
2022-06-22,73.900002,75.290001,73.690002,74.559998,73.344444,8032400
2022-06-23,74.260002,74.680000,72.769997,73.540001,72.341080,9467400
2022-06-24,74.040001,76.480003,73.959999,76.459999,75.213478,11247500
2022-06-27,76.400002,76.660004,75.599998,75.830002,74.593750,6791900
2022-06-28,76.279999,76.989998,74.900002,75.019997,73.796951,4923200
2022-06-29,75.160004,75.290001,73.709999,74.480003,73.265762,5297400
